"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","de.tum.in.tumcampusapp.api.app","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/api/app/TUMCabeAPIService.java","3","80","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.api.app","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/api/app/TUMCabeClient.java","3","71","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.api.app","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/api/app/TumHttpLoggingInterceptor.java","3","47","Avoid really long methods.","Design","ExcessiveMethodLength"
"1","de.tum.in.tumcampusapp.component.tumui.calendar","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/tumui/calendar/CalendarActivity.java","3","66","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.tumui.calendar","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/tumui/calendar/CalendarController.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.tumui.calendar","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/tumui/calendar/CreateEventActivity.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.tumui.feedback","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/tumui/feedback/FeedbackActivity.java","3","35","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.tumui.feedback","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/tumui/feedback/FeedbackController.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.tumui.roomfinder","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/tumui/roomfinder/RoomFinderDetailsActivity.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.ui.cafeteria.activity","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/ui/cafeteria/activity/CafeteriaActivity.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.ui.chat.activity","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/ui/chat/activity/ChatActivity.java","3","65","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.ui.chat.activity","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/ui/chat/activity/ChatRoomsActivity.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.ui.chat.model","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/ui/chat/model/ChatMessage.java","3","18","The class 'ChatMessage' is suspected to be a Data Class (WOC=15.000%, NOPA=4, NOAM=16, WMC=23)","Design","DataClass"
"1","de.tum.in.tumcampusapp.component.ui.onboarding","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/ui/onboarding/WizNavStartActivity.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.ui.overview","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/ui/overview/MainActivity.java","3","44","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.ui.ticket.activity","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/ui/ticket/activity/StripePaymentActivity.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.component.ui.tufilm","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/component/ui/tufilm/KinoDetailsFragment.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","de.tum.in.tumcampusapp.database","/home/matheus/smell-and-machine-learning/repositories/TCA-Team_TumCampusApp/app/src/main/java/de/tum/in/tumcampusapp/database/TcaDb.java","3","101","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
